Id_equipa,Id_jogador,Id_jogo,Golos_jogador
1,0,1,6
1,8,1,3
1,6,1,2
1,7,1,0
2,3,1,0
2,2,1,1
2,9,1,3
2,11,1,6
3,0,2,1
3,2,2,0
3,5,2,1
4,3,2,0
4,4,2,1
4,6,2,2
4,7,2,0
4,8,2,3
4,11,2,4
5,0,3,1
5,11,3,1
5,9,3,0
5,2,3,0
5,5,3,2
5,6,3,1
6,8,3,1
6,7,3,2
6,3,3,0
6,4,3,1
7,0,4,3
7,3,4,0
7,11,4,2
7,8,4,2
8,9,4,2
8,2,4,1
8,4,4,5
8,5,4,1
2,1,1,0
3,1,2,1
6,1,3,1
8,1,4,0
9,7,5,4
9,2,5,0
9,5,5,0
9,6,5,3
9,3,5,1
10,0,5,2
10,8,5,1
10,9,5,1
10,4,5,3
10,11,5,3
11,2,6,3
11,5,6,0
11,11,6,2
11,0,6,1
12,1,6,3
12,3,6,0
12,8,6,1
12,4,6,2
12,9,6,2
13,3,7,0
13,5,7,0
13,11,7,1
13,8,7,1
14,4,7,2
14,1,7,3
14,9,7,0
14,2,7,2
15,2,8,1
15,5,8,0
15,11,8,3
15,4,8,0
15,1,8,2
16,0,8,3
16,9,8,0
16,3,8,0
17,8,9,2
17,0,9,3
17,6,9,1
17,5,9,0
17,3,9,2
17,11,9,2
18,1,9,1
18,9,9,2
18,4,9,1
18,2,9,1
18,7,9,2
19,6,10,1
19,0,10,4
19,7,10,2
19,11,10,2
20,1,10,2
20,2,10,0
20,3,10,1
20,4,10,1
20,8,10,2
20,9,10,2
21,6,11,1
21,3,11,0
21,4,11,1
21,9,11,1
21,8,11,2
21,7,11,5
22,2,11,0
22,0,11,2
22,11,11,2
22,1,11,3
22,5,11,0
23,6,12,2
23,7,12,3
23,9,12,2
23,1,12,1
24,0,12,1
24,8,12,2
24,4,12,1
24,3,12,2
24,5,12,0
24,11,12,2
25,0,13,7
25,1,13,0
25,3,13,2
25,7,13,3
26,2,13,2
26,9,13,1
26,4,13,2
26,11,13,9
26,6,13,0
27,23,14,1
27,15,14,0
27,14,14,1
27,22,14,3
27,21,14,2
27,13,14,3
28,0,14,3
28,19,14,0
28,16,14,2
28,20,14,0
28,17,14,4
29,13,15,0
29,19,15,5
29,0,15,1
29,15,15,0
29,22,15,5
29,18,15,0
30,16,15,3
30,23,15,1
30,14,15,0
30,17,15,1
30,20,15,0
31,15,16,1
31,0,16,2
31,20,16,0
31,16,16,2
31,14,16,1
31,18,16,1
32,23,16,1
32,19,16,1
32,17,16,0
32,13,16,4
32,21,16,3
33,17,17,0
33,15,17,0
33,19,17,2
33,18,17,3
34,0,17,2
34,16,17,2
34,21,17,2
35,0,18,3
35,19,18,2
35,14,18,2
35,20,18,5
36,16,18,2
36,23,18,2
36,21,18,3
36,17,18,0
37,16,19,1
37,23,19,0
37,17,19,0
37,18,19,1
37,14,19,2
38,20,19,2
38,22,19,1
38,21,19,3
38,19,19,3
38,0,19,4
39,0,20,3
39,21,20,5
39,20,20,3
39,14,20,0
40,19,20,1
40,16,20,4
40,23,20,2
40,17,20,1
41,23,21,2
41,18,21,0
42,21,21,6
42,19,21,4
42,22,21,1
42,17,21,2
43,21,22,3
43,22,22,2
43,14,22,1
43,17,22,4
44,0,22,3
44,20,22,1
44,15,22,0
44,23,22,0
45,21,23,2
45,22,23,1
45,17,23,0
45,20,23,2
46,0,23,3
46,14,23,1
46,23,23,1
46,15,23,0
47,21,24,1
47,17,24,2
47,20,24,5
48,0,24,1
48,19,24,4
48,14,24,1
48,23,24,4
49,23,25,1
49,17,25,5
49,14,25,1
49,21,25,6
50,0,25,6
50,19,25,5
50,22,25,1
50,16,25,5
50,20,25,0
